Name;Question;Description;Default;Validity;Visibility;Constraint
FreshwaterTankModule;Will the Product FreshwaterTankModule will be used?;FreshwaterTankModule description;;;FreshwaterTankModule &  - FreshwaterTankModule;( - FreshwaterTankModule ~ FreshwaterTankModule) & (FreshwaterTankModule ~ AssembleFreshwaterTankModule)
FreshwaterTankS;Will the Product FreshwaterTankS will be used?;FreshwaterTankS description;;;FreshwaterTankS &  - FreshwaterTankS;(FreshwaterTankS ~  - FreshwaterTankXL) & (FreshwaterTankS ~ FreshwaterTank)
FreshwaterTankSModule;Will the Product FreshwaterTankSModule will be used?;FreshwaterTankSModule description;;;FreshwaterTankSModule &  - FreshwaterTankSModule;(FreshwaterTankSModule ~ Valve1) & (FreshwaterTankSModule ~ FreshwaterTankModule) & (FreshwaterTankSModule ~  - FreshwaterTankXLModule) & (FreshwaterTankSModule ~ FreshwaterTankS)
FreshwaterTankXL;Will the Product FreshwaterTankXL will be used?;FreshwaterTankXL description;;;FreshwaterTankXL &  - FreshwaterTankXL;(FreshwaterTankXL ~  - FreshwaterTankS) & (FreshwaterTankXL ~ FreshwaterTank)
FreshwaterTankXLModule;Will the Product FreshwaterTankXLModule will be used?;FreshwaterTankXLModule description;;;FreshwaterTankXLModule &  - FreshwaterTankXLModule;(FreshwaterTankXLModule ~ FreshwaterTankModule) & (FreshwaterTankXLModule ~  - FreshwaterTankSModule) & (FreshwaterTankXLModule ~ Valve1)
IronFrame;Will the Product IronFrame will be used?;IronFrame description;;;IronFrame &  - IronFrame;(IronFrame ~  - Rack1) & (IronFrame ~  - Rack2) & (IronFrame ~ Mount)
Mount;Will the Product Mount will be used?;Mount description;;;Mount &  - Mount;( - Mount ~ Mount)
Nanofilter;Will the Product Nanofilter will be used?;Nanofilter description;;;Nanofilter &  - Nanofilter;(Nanofilter ~ NanofilterMaterial) & (Nanofilter ~ NanofilterHull)
NanofilterHull;Will the Product NanofilterHull will be used?;NanofilterHull description;;;NanofilterHull &  - NanofilterHull;
NanofilterMaterial;Will the Product NanofilterMaterial will be used?;NanofilterMaterial description;;;NanofilterMaterial &  - NanofilterMaterial;
Rack1;Will the Product Rack1 will be used?;Rack1 description;;;Rack1 &  - Rack1;(Rack1 ~ Mount) & (Rack1 ~  - Rack2) & (Rack1 ~  - IronFrame)
Rack2;Will the Product Rack2 will be used?;Rack2 description;;;Rack2 &  - Rack2;(Rack2 ~  - IronFrame) & (Rack2 ~  - Rack1) & (Rack2 ~ Mount)
Sand;Will the Product Sand will be used?;Sand description;;;Sand &  - Sand;
Tube;Will the Product Tube will be used?;Tube description;;;Tube &  - Tube;
Tube1;Will the Product Tube1 will be used?;Tube1 description;;;Tube1 &  - Tube1;(Tube1 ~ Tube) & ( - Tube1 ~ Tube1)
Tube2;Will the Product Tube2 will be used?;Tube2 description;;;Tube2 &  - Tube2;(Tube2 ~ Tube) & ( - Tube2 ~ Tube2)
Tube3;Will the Product Tube3 will be used?;Tube3 description;;;Tube3 &  - Tube3;(Tube3 ~ Tube)
Valve;Will the Product Valve will be used?;Valve description;;;Valve &  - Valve;
Valve1;Will the Product Valve1 will be used?;Valve1 description;;;Valve1 &  - Valve1;(Valve1 ~ Valve)
Valve2;Will the Product Valve2 will be used?;Valve2 description;;;Valve2 &  - Valve2;(Valve2 ~ Valve)
WastewaterTankXL;Will the Product WastewaterTankXL will be used?;WastewaterTankXL description;;;WastewaterTankXL &  - WastewaterTankXL;
WastewaterTankXLModule;Will the Product WastewaterTankXLModule will be used?;WastewaterTankXLModule description;;;WastewaterTankXLModule &  - WastewaterTankXLModule;(WastewaterTankXLModule ~ WastewaterTankXL) & (WastewaterTankXLModule ~ Valve2)
